Name,Organisation,Category,Location,Email,Alternative Contact,Status,Notes
Luca Parmitano,European Space Agency,Public Figure Patron,Sicily (Paterno CT),media@esa.int,https://www.instagram.com/astro_luca/,Not Contacted,ESA astronaut; no personal email found; ESA press office is official routing channel
Ficarra & Picone,Ficarra e Picone,Public Figure Patron,Sicily (Palermo),,https://www.instagram.com/ficarraepicone/,Not Contacted,Comedy/film duo; no verified official site or email found
Dolce & Gabbana,Dolce & Gabbana,Public Figure Patron,Sicily (Polizzi Generosa),,https://world.dolcegabbana.com,Not Contacted,Fashion house co-founder Domenico Dolce from Sicily; no email verified on official corporate page
Giovanni Caccamo,Giovanni Caccamo,Public Figure Patron,Sicily (Modica),antos@giovannicaccamo.it,https://giovannicaccamo.it,Not Contacted,Singer-songwriter; booking email published on official site
Nino Frassica,Nino Frassica,Public Figure Patron,Sicily (Messina),,https://www.facebook.com/ninofrassicaoff/,Not Contacted,Actor/comedian; no confirmed official channel found
Francesco Cafiso,Francesco Cafiso,Public Figure Patron,Sicily (Vittoria),info@ghostnotesrls.com,https://www.francescocafisomusic.com,Not Contacted,Jazz saxophonist; management email published on official site
Salvo La Rosa,Salvo La Rosa,Public Figure Patron,Sicily (Catania),,https://salvolarosa.it/,Not Contacted,Sicilian journalist/TV host (Insieme program); regional figure; no working contact page found
Maria Grazia Cucinotta,Maria Grazia Cucinotta,Public Figure Patron,Sicily (Messina),locasciomanagement@gmail.com,https://www.mariagraziacucinotta.com,Not Contacted,Actress/producer; management agency email (Lo Cascio & Gargiulo) published on official roster page
Fondazione CON IL SUD,Fondazione CON IL SUD,Strategic Partner,Roma (national HQ),info@fondazioneconilsud.it,https://www.fondazioneconilsud.it/contatti/,Not Contacted,National grant-making foundation supporting Southern Italy civil society
Legambiente Sicilia,Legambiente Sicilia,Strategic Partner,Palermo,regionale@legambientesicilia.it,PEC: legambientesicilia@pec.it,Not Contacted,Sicily regional branch of Legambiente; verified on official site
WWF Sicilia,WWF Sicilia,Strategic Partner,Sicilia,delegatosicilia@wwf.it,https://www.wwf.it/chi-siamo/presenza-sul-territorio/sicilia/,Not Contacted,Sicily regional delegation of WWF Italia; verified on official site
FAI Sicilia,FAI Sicilia,Strategic Partner,Palermo,segreteriafaisicilia@fondoambiente.it,https://fondoambiente.it/luoghi/rete-fai/direzione-regionale-fai-sicilia,Not Contacted,Sicily regional direction of Fondo Ambiente Italiano; verified on official site
Ordine degli Architetti Palermo,Ordine degli Architetti Palermo,Introducer,Palermo,architetti@palermo.awn.it,https://www.ordinearchitettipalermo.it/segreteria/ PEC: oappc.palermo@archiworldpec.it,Not Contacted,Palermo Architects professional order; verified on official site
Ordine degli Ingegneri Palermo,Ordine degli Ingegneri Palermo,Introducer,Palermo,segreteria@ingpa.com,https://palermo.ordingegneri.it/contatti/ PEC: ordine.palermo@ingpec.eu,Not Contacted,Palermo Engineers professional order; verified on official site
Ordine degli Agronomi Sicilia,Ordine dei Dottori Agronomi e Dottori Forestali della Provincia di Palermo,Introducer,Palermo,info@agronomiforestalipalermo.it,https://www.agronomiforestalipalermo.it/contatti/ PEC: protocollo.odaf.palermo@conafpec.it,Not Contacted,Provincial (not regional) order; exact legal name verified
Università degli Studi di Palermo,Università degli Studi di Palermo,Introducer,Palermo,urp@unipa.it,https://www.unipa.it/amministrazione/rettorato/ Rettore: rettore@unipa.it,Not Contacted,URP (public relations office) used as general institutional contact
Fondazione Ordine degli Architetti Palermo,Fondazione dell'Ordine degli Architetti di Palermo (FOAP),Introducer,Palermo,architetti@palermo.awn.it,https://www.ordinearchitettipalermo.it/fondazione/,Not Contacted,Distinct legal entity; shares contact channel with parent Ordine no separate email
