Name,Organisation,Category,Location,Email,Alternative Contact,Status,Notes
Luca Parmitano,European Space Agency,Public Figure Patron,Sicily (Paterno CT),media@esa.int,https://www.instagram.com/astro_luca/,Not Contacted,ESA astronaut; no personal email found; ESA press office is official routing channel
Ficarra & Picone,Ficarra e Picone,Public Figure Patron,Sicily (Palermo),,https://www.instagram.com/ficarraepicone/,Not Contacted,Comedy/film duo; no verified official site or email found
Dolce & Gabbana,Dolce & Gabbana,Public Figure Patron,Sicily (Polizzi Generosa),,https://world.dolcegabbana.com,Not Contacted,Fashion house co-founder Domenico Dolce from Sicily; no email verified on official corporate page
Giovanni Caccamo,Giovanni Caccamo,Public Figure Patron,Sicily (Modica),antos@giovannicaccamo.it,https://giovannicaccamo.it,Not Contacted,Singer-songwriter; booking email published on official site
Nino Frassica,Nino Frassica,Public Figure Patron,Sicily (Messina),,https://www.facebook.com/ninofrassicaoff/,Not Contacted,Actor/comedian; no confirmed official channel found
Francesco Cafiso,Francesco Cafiso,Public Figure Patron,Sicily (Vittoria),info@ghostnotesrls.com,https://www.francescocafisomusic.com,Not Contacted,Jazz saxophonist; management email published on official site
Salvo La Rosa,Salvo La Rosa,Public Figure Patron,Sicily (Catania),,https://salvolarosa.it/,Not Contacted,Sicilian journalist/TV host (Insieme program); regional figure; no working contact page found
Maria Grazia Cucinotta,Maria Grazia Cucinotta,Public Figure Patron,Sicily (Messina),locasciomanagement@gmail.com,https://www.mariagraziacucinotta.com,Not Contacted,Actress/producer; management agency email (Lo Cascio & Gargiulo) published on official roster page
Fondazione CON IL SUD,Fondazione CON IL SUD,Strategic Partner,Roma (national HQ),info@fondazioneconilsud.it,https://www.fondazioneconilsud.it/contatti/,Not Contacted,National grant-making foundation supporting Southern Italy civil society
Legambiente Sicilia,Legambiente Sicilia,Strategic Partner,Palermo,regionale@legambientesicilia.it,PEC: legambientesicilia@pec.it,Not Contacted,Sicily regional branch of Legambiente; verified on official site
WWF Sicilia,WWF Sicilia,Strategic Partner,Sicilia,delegatosicilia@wwf.it,https://www.wwf.it/chi-siamo/presenza-sul-territorio/sicilia/,Not Contacted,Sicily regional delegation of WWF Italia; verified on official site
FAI Sicilia,FAI Sicilia,Strategic Partner,Palermo,segreteriafaisicilia@fondoambiente.it,https://fondoambiente.it/luoghi/rete-fai/direzione-regionale-fai-sicilia,Not Contacted,Sicily regional direction of Fondo Ambiente Italiano; verified on official site
Ordine degli Architetti Palermo,Ordine degli Architetti Palermo,Introducer,Palermo,architetti@palermo.awn.it,https://www.ordinearchitettipalermo.it/segreteria/ PEC: oappc.palermo@archiworldpec.it,Not Contacted,Palermo Architects professional order; verified on official site
Ordine degli Ingegneri Palermo,Ordine degli Ingegneri Palermo,Introducer,Palermo,segreteria@ingpa.com,https://palermo.ordingegneri.it/contatti/ PEC: ordine.palermo@ingpec.eu,Not Contacted,Palermo Engineers professional order; verified on official site
Ordine degli Agronomi Sicilia,Ordine dei Dottori Agronomi e Dottori Forestali della Provincia di Palermo,Introducer,Palermo,info@agronomiforestalipalermo.it,https://www.agronomiforestalipalermo.it/contatti/ PEC: protocollo.odaf.palermo@conafpec.it,Not Contacted,Provincial (not regional) order; exact legal name verified
Università degli Studi di Palermo,Università degli Studi di Palermo,Introducer,Palermo,urp@unipa.it,https://www.unipa.it/amministrazione/rettorato/ Rettore: rettore@unipa.it,Not Contacted,URP (public relations office) used as general institutional contact
Fondazione Ordine degli Architetti Palermo,Fondazione dell'Ordine degli Architetti di Palermo (FOAP),Introducer,Palermo,architetti@palermo.awn.it,https://www.ordinearchitettipalermo.it/fondazione/,Not Contacted,Distinct legal entity; shares contact channel with parent Ordine no separate email
Camera di Commercio del Sud Est Sicilia,Camera di Commercio Industria Artigianato e Agricoltura del Sud Est Sicilia,Chamber of Commerce,Catania (covers Catania/Ragusa/Siracusa),ctrgsr@pec.ctrgsr.camcom.it,https://ctrgsr.camcom.gov.it/it/contatti,Not Contacted,Formed by 2019 merger of CT/RG/SR chambers; PEC is the published official channel
Camera di Commercio di Palermo e Enna,Camera di Commercio Industria Artigianato e Agricoltura di Palermo ed Enna,Chamber of Commerce,Palermo (also Enna office),cciaa@pec.paen.camcom.it,https://www.paen.camcom.gov.it/it/camera-di-commercio,Not Contacted,Merged Palermo and Enna chamber; verified on official site
Camera di Commercio di Messina,Camera di Commercio Industria Artigianato e Agricoltura di Messina,Chamber of Commerce,Messina,cciaa.messina@me.legalmail.camcom.it,https://www.me.camcom.it/contatti,Not Contacted,One of the few Sicilian chambers that remained unmerged; verified on official site
Camera di Commercio di Agrigento Caltanissetta e Trapani,Camera di Commercio Industria Artigianato e Agricoltura di Agrigento Caltanissetta e Trapani,Chamber of Commerce,Trapani (legal seat; offices also in Agrigento and Caltanissetta),camera.commercio.trapani@tp.legalmail.camcom.it,https://www.tp.camcom.it/la-cciaa-di-trapani/contatti,Not Contacted,Unified 2023 from three former chambers; verified via official sub-sites
Confindustria Catania,Confindustria Catania - Associazione degli Industriali della Provincia di Catania,Confindustria,Catania,info@confindustriact.it,https://www.confindustriact.it/confindustria-catania/contatti/,Not Contacted,Independent territorial association; verified on official site
Confindustria Siracusa,Confindustria Siracusa - Associazione degli Industriali della Provincia di Siracusa,Confindustria,Siracusa,info@confindustriasr.it,https://www.confindustriasr.it/contatti/,Not Contacted,Independent territorial association; verified on official site
Confindustria Messina,Sicindustria - Delegazione di Messina,Confindustria,Messina,messina@sicindustria.eu,https://www.sicindustria.eu/sicindustria-messina.htm,Not Contacted,Operates as a delegation of Sicindustria Palermo not an independent legal association; contact verified
Confindustria Ragusa,Sicindustria - Delegazione di Ragusa,Confindustria,Ragusa,ragusa@sicindustria.eu,https://www.sicindustria.eu/sicindustria-ragusa.htm,Not Contacted,Delegation of Sicindustria Palermo not a separate legal body; contact verified
STMicroelectronics Catania,STMicroelectronics S.r.l. - Catania site,Corporate Patron,Catania,stsrl_ipa@legalmail.it,https://www.st.com/content/st_com/en/contact-us.html,Not Contacted,Major semiconductor and silicon-carbide manufacturing site around 5500 employees; only PEC address found
Raffineria di Milazzo,Raffineria di Milazzo S.C.p.A.,Corporate Patron,Milazzo (ME),raffineriadimilazzo@legalmail.it,https://www.raffineriadimilazzo.it/en/contact/,Not Contacted,Major refinery joint venture ENI/KPC; PEC-hosted address confirmed via official contact page
Eurospin Sicilia,Eurospin Sicilia S.p.A.,Corporate Patron,Catania,,https://www.eurospin.it/contacts/contatti/,Not Contacted,Regional discount retail chain HQ in Catania; no Sicilia-specific email verified only national parent publishes one
Grandi Navi Veloci - Palermo,Grandi Navi Veloci S.p.A.,Corporate Patron,Palermo,segreteria.palermo@gnv.it,https://www.gnv.it,Not Contacted,Ferry and shipping operator; HQ Genoa but major Sicily hub and office at Palermo port
ISAB Priolo,ISAB S.r.l.,Corporate Patron,Priolo Gargallo / Melilli (SR),,https://isab.lukoil.com/it,Not Contacted,Italy's largest oil refinery; no public email found ownership mid-transition in 2026 pending regulatory approval
Fondazione Whitaker,Fondazione Whitaker,Foundation,Palermo,info@fondazionewhitaker.it,https://www.fondazionewhitaker.it,Not Contacted,Cultural and heritage foundation managing Villa Malfitano and Mozia archaeological site
Fondazione Sant'Elia,Fondazione Sant'Elia,Foundation,Palermo,fondazionesantelia@gmail.com,https://www.fondazionesantelia.it/contatti/,Not Contacted,Cultural foundation est. 2010 running Palazzo Sant'Elia exhibitions; address published on official contatti page
Fondazione Puglisi Cosentino,Fondazione Puglisi Cosentino,Foundation,Catania,info@fondazionepuglisicosentino.it,http://www.fondazionepuglisicosentino.it/Contatti.aspx,Not Contacted,Private art foundation at Palazzo Valle; verified on official site
Fondazione di Comunità di Messina,Fondazione di Comunità di Messina,Foundation,Messina,,https://fdcmessina.org/contatti/,Not Contacted,Community philanthropic foundation in the Fondazione Con il Sud network; no published email found only phone numbers
Marevivo Sicilia,Marevivo Sicilia ETS,Environmental Organisation,Palermo,sicilia@marevivo.it,https://www.marevivosicilia.it,Not Contacted,Regional delegation of national marine conservation NGO Marevivo
LIPU Palermo,LIPU Sezione di Palermo,Environmental Organisation,Palermo,palermo@lipu.it,https://lipupalermo.it/contatti/,Not Contacted,Local section of Italian bird and nature protection league LIPU
CAI Sicilia,CAI Sicilia (Comitato Direttivo Regionale),Environmental Organisation,Palermo,gr_cai_sicilia@cai.it,https://caisiciliariserve.it/contatti/,Not Contacted,Club Alpino Italiano Sicilian regional committee also coordinates management of several nature reserves
Ente Fauna Siciliana,Ente Fauna Siciliana (1973),Environmental Organisation,Noto,segreteriaregionale@entefaunasiciliana.it,https://www.entefaunasiciliana.it/contatti-ordinamento-societario-efs/,Not Contacted,Naturalist conservation association founded 1973 active in Vendicari and Pantalica reserves
San Domenico Palace Taormina,San Domenico Palace Taormina (A Four Seasons Hotel),Luxury Hospitality,Taormina,sonia.bonamassa@fourseasons.com,https://press.fourseasons.com/taormina/hotel-press-contacts/,Not Contacted,Iconic 5-star hotel on former convent site; named PR contact via official Four Seasons press page
Verdura Resort,Verdura Resort (a Rocco Forte Hotel),Luxury Hospitality,Sciacca,events.verdura@roccofortehotels.com,https://www.roccofortehotels.com/hotels-and-resorts/verdura-resort/,Not Contacted,Large coastal golf resort near Sciacca's fire-risk hillside terrain; no general inbox events/groups address used
Villa Igiea,Villa Igiea (a Rocco Forte Hotel),Luxury Hospitality,Palermo,events.villaigiea@roccofortehotels.com,https://press.roccofortehotels.com/villa-igiea/,Not Contacted,Historic Art Nouveau hotel overlooking Palermo's Golfo di Mondello; no general inbox events/groups address used
Grand Hotel Timeo,Grand Hotel Timeo (A Belmond Hotel),Luxury Hospitality,Taormina,alessandra.lore@belmond.com,https://mediahub.belmond.com/grand-hotel-timeo-3459/,Not Contacted,Belmond flagship Taormina property beside the Teatro Greco; named press contact via official mediahub
Therasia Resort,Therasia Resort Sea & Spa,Luxury Hospitality,Vulcano (Aeolian Islands),info@therasiaresort.it,https://www.therasiaresort.it/en/index,Not Contacted,5-star resort on Vulcano Island an active volcanic landscape; email confirmed in footer of official site
Tasca d'Almerita,Tasca d'Almerita,Wine Producer,Sclafani Bagni / Palermo (Regaleali estate),hospitality@tascadalmerita.it,https://shop.tascadalmerita.it/en/pages/contact,Not Contacted,200-year-old historic Sicilian wine estate; only hospitality/experiences email published no unified general inbox found
Cusumano,Cusumano,Wine Producer,Partinico (Palermo),info@cusumano.it,https://www.cusumano.it/it/contacts,Not Contacted,Major family-run Sicilian winery; general email confirmed on official contacts page
Firriato,Firriato,Wine Producer,Paceco (Trapani),info@firriato.it,https://firriato.it/contact-us/?lang=en,Not Contacted,Sicilian winery with Etna and Favignana estates active in sustainability messaging
Cantine Settesoli,Cantine Settesoli,Wine Producer,Menfi (Agrigento),info@cantinesettesoli.it,https://www.cantinesettesoli.it/contatti/,Not Contacted,Large historic winegrowers cooperative on Sicily's southwest coast
Duca di Salaparuta,Duca di Salaparuta,Wine Producer,Casteldaccia (Palermo),info@duca.it,https://duca.it/en/contacts/,Not Contacted,Historic Sicilian wine house Corvo brand dating to 1824
Assessorato del Turismo Regione Siciliana,Regione Siciliana - Dipartimento Turismo Sport e Spettacolo,Tourism Group,Palermo,direzione.turismo@regione.sicilia.it,https://www.regione.sicilia.it/istituzioni/regione/strutture-regionali/assessorato-turismo-sport-spettacolo/dipartimento-turismo-sport-spettacolo/contatti,Not Contacted,Sicily's regional government tourism department overseeing island-wide tourism policy
Federalberghi Sicilia,Federalberghi Sicilia (URAS),Tourism Group,Palermo,sicilia@federalberghi.it,http://www.sicilia.federalberghi.it,Not Contacted,Regional federation of Sicilian hoteliers
Sicilia Convention Bureau,Sicilia Convention Bureau,Tourism Group,Catania,info@siciliaconventionbureau.it,https://www.siciliaconventionbureau.it/contact-us/,Not Contacted,Sicilian destination management and MICE promotion body
Coldiretti Catania,Coldiretti Catania (Sicilia),Agricultural Organisation,Catania,catania@coldiretti.it,https://catania.coldiretti.it/contattaci/,Not Contacted,Provincial office of Sicily's largest farmers association
Confagricoltura Sicilia,Confagricoltura Sicilia - Federazione Regionale,Agricultural Organisation,Palermo,sicilia@confagricoltura.it,https://www.confagricoltura.it/ita/dove-siamo/sicilia/federazione-regionale-degli-agricoltori-della-sicilia,Not Contacted,Regional federation HQ; email sourced from official domain via search index direct fetch was blocked by site
CIA Sicilia Orientale,CIA Sicilia Orientale (Catania),Agricultural Organisation,Catania,catania@cia.it,https://ciacatania.org/contatti/,Not Contacted,Provincial CIA office covering eastern Sicily
Consorzio di Bonifica 9 Catania,Consorzio di Bonifica 9 Catania,Agricultural Organisation,Catania,segreteria@consorziobonifica9ct.it,https://www.consorziobonifica9ct.it/,Not Contacted,Land reclamation and irrigation consortium managing rural territory relevant to wildfire-affected land
Università degli Studi di Catania,Università degli Studi di Catania,University,Catania,urp@unict.it,https://www.unict.it/it/ateneo/urp,Not Contacted,Public Relations Office of Sicily's largest university
Università degli Studi di Messina,Università degli Studi di Messina,University,Messina,urp@unime.it,https://www.unime.it/urp-numero-verde,Not Contacted,Public Relations Office confirmed on official site
Università degli Studi di Enna Kore,Università degli Studi di Enna Kore,University,Enna,protocollo@unikore.it,https://uke.it/contatti,Not Contacted,No dedicated URP found; general Protocol Office email confirmed on official site
Ordine Architetti Catania,Ordine degli Architetti P.P.C. della Provincia di Catania,Professional Association,Catania,protocollo@ordinearchitetticatania.it,https://www.ordinearchitetticatania.it/pagina.asp?id=1&m=1,Not Contacted,Confirmed directly on official site
Ordine Ingegneri Catania,Ordine degli Ingegneri della Provincia di Catania,Professional Association,Catania,infording@ording.ct.it,https://ording.ct.it/segreteria/,Not Contacted,Official site obfuscates email via script; address taken from search-indexed snippet of same official domain moderate confidence
Ordine Regionale dei Geologi di Sicilia,Ordine dei Geologi di Sicilia,Professional Association,Palermo,info@geologidisicilia.it,https://www.geologidisicilia.it/,Not Contacted,Sicily-wide professional order for geologists relevant to territorial and wildfire land-risk governance
