Name,Organisation,Category,Location,Email,Alternative Contact,Status,Notes
Masseria LuciaGiovanni,Masseria & Spa LuciaGiovanni,Masseria,Lecce,contatti@masserialuciagiovanni.it,https://www.masserialuciagiovanni.it/en/,Not Contacted,4-star masseria resort with spa; email from search snippet not independently re-fetched
Masseria Rifisa,Masseria Rifisa,Masseria,Caprarica di Lecce (LE),,https://www.masseriarifisa.it/en/contact-us/,Not Contacted,Luxury masseria accommodation; email domain spelling inconsistent between sources so left blank pending verification
Naturalis Bio Resort,Naturalis Bio Resort,Masseria,Martano (LE),info@naturalisbioresort.com,https://www.naturalisbioresort.com/en/4-star-bio-resort-in-salento,Not Contacted,4-star bio-resort in a converted rural property near Lecce
Vallone,Agricole Vallone,Wine Producer,Lecce,info@agvallone.it,https://www.vallone.wine/contatti/,Not Contacted,Long-established Lecce winery producing Salento Negroamaro and IGT wines
Apollonio,Apollonio Casa Vinicola,Wine Producer,Monteroni di Lecce (LE),info@apolloniovini.it,https://www.apolloniovini.it/contatti/,Not Contacted,Family winery producing Copertino DOP and Salento IGP wines
GAL Terra d'Otranto,GAL Terra d'Otranto,Tourism Group,Otranto,info@galterradotranto.it,https://www.galterradotranto.it/,Not Contacted,Local Action Group for rural and sustainable tourism development; email from search snippet not independently re-fetched
GAL Isola Salento,GAL Isola Salento,Tourism Group,Martano (LE),info@isolasalento.org,https://www.isolasalento.org/contact/,Not Contacted,Local Action Group covering inland Grecia Salentina Salento towns
Federalberghi Lecce,Federalberghi Lecce,Tourism Group,Lecce,lecce@confcommercio.it,http://www.lecce.federalberghi.it/,Not Contacted,Provincial hoteliers association operating via Confcommercio Lecce; email is the parent Confcommercio address not association-specific
Pugliapromozione,Pugliapromozione (Agenzia Regionale del Turismo),Tourism Group,Lecce,direzione.generale@aret.regione.puglia.it,https://aret.regione.puglia.it/en/contatti,Not Contacted,Regional tourism promotion agency with a dedicated Lecce territorial office
Coldiretti Lecce,Coldiretti Lecce,Agricultural Organisation,Lecce,lecce@coldiretti.it,http://www.lecce.coldiretti.it,Not Contacted,Provincial farmers federation active on Xylella-affected olive land management
Confagricoltura Lecce,Confagricoltura Lecce (Unione Provinciale Agricoltori),Agricultural Organisation,Lecce,lecce@confagricoltura.it,https://www.confagricolturale.it/confagricoltura-lecce-contatti/,Not Contacted,Provincial employers agricultural association
CIA Lecce,CIA - Agricoltori Italiani Salento,Agricultural Organisation,Lecce,lecce@cia.it,https://www.cia.it/dove-siamo/sedi/,Not Contacted,Third major farmers union in the province
Consorzio di Bonifica Ugento e Li Foggi,Consorzio di Bonifica Ugento e Li Foggi,Agricultural Organisation,Ugento (LE),info@bonificaugento.it,https://bonificaugento.bonificacspuglia.it/contatti/,Not Contacted,Land reclamation and water management consortium covering southern Salento
Consorzio di Bonifica Arneo,Consorzio Speciale per la Bonifica di Arneo,Agricultural Organisation,Nardò (LE),,https://consorziobonificadiarneo.bonificacspuglia.it/,Not Contacted,Covers the Nardò and Gallipoli area; only PEC addresses found and body is mid-merger into a larger consortium
Ordine Geologi Puglia,Ordine dei Geologi della Puglia,Professional Association,Bari,info@geologipuglia.it,https://www.geologipuglia.it/segreteria/,Not Contacted,Regional order based in Bari covering Salento; geological and hydrogeological expertise relevant to territorial regeneration
