Name,Organisation,Category,Location,Email,Alternative Contact,Status,Notes
Masseria Rifisa,Masseria Rifisa,Masseria,Caprarica di Lecce (LE),,https://www.masseriarifisa.it/en/contact-us/,Not Contacted,Luxury masseria accommodation; email domain spelling inconsistent between sources so left blank pending verification
Naturalis Bio Resort,Naturalis Bio Resort,Masseria,Martano (LE),info@naturalisbioresort.com,https://www.naturalisbioresort.com/en/4-star-bio-resort-in-salento,Not Contacted,4-star bio-resort in a converted rural property near Lecce
Vallone,Agricole Vallone,Wine Producer,Lecce,info@agvallone.it,https://www.vallone.wine/contatti/,Not Contacted,Long-established Lecce winery producing Salento Negroamaro and IGT wines
Apollonio,Apollonio Casa Vinicola,Wine Producer,Monteroni di Lecce (LE),info@apolloniovini.it,https://www.apolloniovini.it/contatti/,Not Contacted,Family winery producing Copertino DOP and Salento IGP wines
GAL Terra d'Otranto,GAL Terra d'Otranto,Tourism Group,Otranto,info@galterradotranto.it,https://www.galterradotranto.it/,Not Contacted,Local Action Group for rural and sustainable tourism development; email from search snippet not independently re-fetched
GAL Isola Salento,GAL Isola Salento,Tourism Group,Martano (LE),info@isolasalento.org,https://www.isolasalento.org/contact/,Not Contacted,Local Action Group covering inland Grecia Salentina Salento towns
Federalberghi Lecce,Federalberghi Lecce,Tourism Group,Lecce,lecce@confcommercio.it,http://www.lecce.federalberghi.it/,Not Contacted,Provincial hoteliers association operating via Confcommercio Lecce; email is the parent Confcommercio address not association-specific
Pugliapromozione,Pugliapromozione (Agenzia Regionale del Turismo),Tourism Group,Lecce,direzione.generale@aret.regione.puglia.it,https://aret.regione.puglia.it/en/contatti,Not Contacted,Regional tourism promotion agency with a dedicated Lecce territorial office
Coldiretti Lecce,Coldiretti Lecce,Agricultural Organisation,Lecce,lecce@coldiretti.it,http://www.lecce.coldiretti.it,Not Contacted,Provincial farmers federation active on Xylella-affected olive land management
Confagricoltura Lecce,Confagricoltura Lecce (Unione Provinciale Agricoltori),Agricultural Organisation,Lecce,lecce@confagricoltura.it,https://www.confagricolturale.it/confagricoltura-lecce-contatti/,Not Contacted,Provincial employers agricultural association
CIA Lecce,CIA - Agricoltori Italiani Salento,Agricultural Organisation,Lecce,lecce@cia.it,https://www.cia.it/dove-siamo/sedi/,Not Contacted,Third major farmers union in the province
Consorzio di Bonifica Ugento e Li Foggi,Consorzio di Bonifica Ugento e Li Foggi,Agricultural Organisation,Ugento (LE),info@bonificaugento.it,https://bonificaugento.bonificacspuglia.it/contatti/,Not Contacted,Land reclamation and water management consortium covering southern Salento
Consorzio di Bonifica Arneo,Consorzio Speciale per la Bonifica di Arneo,Agricultural Organisation,Nardò (LE),,https://consorziobonificadiarneo.bonificacspuglia.it/,Not Contacted,Covers the Nardò and Gallipoli area; only PEC addresses found and body is mid-merger into a larger consortium
Ordine Geologi Puglia,Ordine dei Geologi della Puglia,Professional Association,Bari,info@geologipuglia.it,https://www.geologipuglia.it/segreteria/,Not Contacted,Regional order based in Bari covering Salento; geological and hydrogeological expertise relevant to territorial regeneration
Helen Mirren & Taylor Hackford,Independent (actress and director),Public Figure Patron,Tiggiano (LE),,https://www.helenmirren.com/contactsqa/ (CAA agent Fred Specktor London),Not Contacted,Oscar-winning actress and husband own a restored masseria in Tiggiano since the early 2000s; publicly campaigned to save Salento's olive trees from Xylella
Giuseppe Maria Ricchiuto,Sandemetrio / Gruppo Specchiasol,Philanthropic Individual,Specchia (LE),,https://www.sandemetriosrl.com,Not Contacted,Born in Specchia; founder and president of Gruppo Specchiasol and of Sandemetrio its organic medicinal-herb farm in Specchia; recognised for green entrepreneurship
Ennio Capasa,Costume National,Public Figure Patron,Lecce (born),,https://www.costumenational.com/pages/contact,Not Contacted,Fashion designer born in Lecce founder of internationally known label Costume National; no personal email published brand contact page given
Floriano Pellegrino e Isabella Potì,Pellegrino Brothers,Public Figure Patron,Lecce / Scorrano,info@pellegrinobrothers.it,https://www.pellegrinobrothers.it/contatti,Not Contacted,Michelin-starred chef duo based in Lecce and Scorrano; email verified on official site
Negramaro (Giuliano Sangiorgi),Negramaro,Public Figure Patron,Copertino (LE),,https://www.negramaro.com,Not Contacted,Multi-platinum rock band founded in Copertino; frontman born in Nardò; booking via Magellano Concerti given as alternative
Frantoio Cazzetta 1899,Terra d'Otranto S.r.l.,Olive Oil Producer,Palmariggi (LE),info@oliocazzetta.com,https://oliocazzetta.com/,Not Contacted,Historic olive mill since 1899 sixth generation; inland Salento area affected by Xylella regionally; email verified on official site
Olio Palese,Olio Palese,Olive Oil Producer,Presicce-Acquarica (LE),info@oliopalese.it,https://oliopalese.it/,Not Contacted,Family-run estate around 40 hectares near the epicentre of the 2013 Xylella outbreak; email verified on official site
Terra Pajara,Olio Terra Pajara,Olive Oil Producer,Presicce-Acquarica (LE),giuliamonte80@gmail.com,https://www.terrapajara.it/Azienda.html,Not Contacted,Small family producer explicitly affected by Xylella replanted resistant cultivars; contact is a personal address moderate confidence
Frantoio Santo Eligio,Santo Eligio,Olive Oil Producer,Presicce (LE),,https://www.oliosantoeligio.it/,Not Contacted,Family mill operating since 1960 in the same Xylella-affected area; no public email found only contact form
Castello Monaci,Castello Monaci (Gruppo Italiano Vini),Wine Producer,San Pancrazio Salentino (BR),info@castellomonaci.com,https://www.castellomonaci.com/en/where-we-are/,Not Contacted,Historic estate with on-site wine museum; email verified on official site
Conti Zecca,Azienda Agricola Conti Zecca,Wine Producer,Leverano (LE),info@contizecca.it,https://contizecca.it/contatti/,Not Contacted,Landowning family since 1580 comital title 1884 still family-run estate around 320 hectares; email verified on official site
Masseria Li Veli,Masseria Li Veli (Falvo family),Wine Producer,Cellino San Marco (BR),info@liveli.it,https://www.liveli.it/en/info/,Not Contacted,Boutique family-owned estate; email verified on official site
Schola Sarmenti,Schola Sarmenti,Wine Producer,Nardò (LE),info@scholasarmenti.it,https://www.scholasarmenti.it/,Not Contacted,Boutique winery in the heart of Salento; email verified on official site
Tenute Rubino,Azienda Agricola Dott. Luigi Rubino,Wine Producer,Brindisi (BR),info@tenuterubino.it,https://www.tenuterubino.com/contacts/?lang=en,Not Contacted,Known for the indigenous Susumaniello variety; email domain differs from website domain moderate confidence
Baglioni Masseria Muzza Resort & Spa,Baglioni Hotels,Luxury Hospitality,Otranto,reservations.masseriamuzza@baglionihotels.com,https://puglia.baglionihotels.com/contact,Not Contacted,New luxury masseria resort under Baglioni Hotels group; email corroborated via secondary listings moderate confidence
Masseria Muntibianchi,Masseria Muntibianchi,Luxury Hospitality,Otranto,info@masseriamuntibianchi.it,https://www.masseriamuntibianchi.it,Not Contacted,Boutique agriresort with spa; email verified on official site
Masseria Prosperi,Masseria Prosperi,Luxury Hospitality,Otranto,info@masseriaprosperi.it,https://www.masseriaprosperi.it,Not Contacted,Luxury boutique farm and masseria; email verified on official site
Est Hotel,Est Hotel,Luxury Hospitality,Santa Cesarea Terme,info@esthotel.it,https://www.esthotel.it,Not Contacted,4-star coastal hotel on the Adriatic cliffs; email verified on official site
Marenea Suite Hotel,CDSHotels,Luxury Hospitality,Castro (LE),,https://mareneasuitehotel.com/contact-us/,Not Contacted,5-star coastal suite hotel; only a group-wide CDSHotels address found not property-specific so left blank
Guarini family,Azienda Agraria Duca Carlo Guarini,Historic Family Estate,Scorrano (LE),welcome@ducacarloguarini.it,https://www.ducacarloguarini.it/en/about-us/,Not Contacted,Norman-origin noble family with documented vineyard stewardship since 1114; manages around 700 hectares of vineyards olive groves and masserie
Bacile di Castiglione family,I Tre Bacili,Historic Family Estate,Spongano (LE),info@itrebacili.it,https://www.itrebacili.it/en/about-us.php,Not Contacted,Noble family resident in Terra d'Otranto for centuries; family estate converted to boutique hospitality with explicit land-stewardship focus
Piccinni-Fedele family,Tenuta Monacelli,Major Landowner,Casalabate (LE),booking@tenutamonacelli.com,https://www.tenutamonacelli.com,Not Contacted,Family-managed estate around 330 to 400 hectares including woodland directly relevant to wildfire risk; family name sourced from press not the estate's own site
La Fiermontina Luxury Home,La Fiermontina Collection,Luxury Hospitality,Lecce (historic centre),info@lafiermontina.com,https://www.lafiermontina.com/,Not Contacted,5-star luxury urban resort in Lecce's old town art and design concept; email verified on official site
Patria Palace Hotel,Patria Palace Hotel Lecce,Luxury Hospitality,Lecce (historic centre),info@patriapalace.com,https://patriapalace.com/en/,Not Contacted,5-star hotel adjacent to Lecce Cathedral member of The Leading Hotels of the World; email verified on official site
Risorgimento Resort,Risorgimento Resort Lecce (Vestas Hotels & Resorts),Luxury Hospitality,Lecce (historic centre),info@risorgimentoresort.it,https://www.risorgimentoresort.it/,Not Contacted,5-star design hotel near the Cathedral with rooftop restaurant; email sourced via search reference direct fetch failed on certificate error medium confidence
GH Gallipoli Resort,Garibaldi Hotels,Luxury Hospitality,Gallipoli,gallipoliresort@garibaldihotels.it,https://gallipoliresort.it/,Not Contacted,Beachfront resort just outside Gallipoli's old town; email verified on official site
Grand Hotel Riviera,CDSHotels,Luxury Hospitality,Nardò (Santa Maria al Bagno),,https://cdshotels.it/en/grand-hotel-riviera/,Not Contacted,Seafront hotel part of the CDSHotels group; no verifiable direct email found official page given instead
Relais Masseria Le Cesine,CDSHotels,Luxury Hospitality,Vernole (LE),,https://cdshotels.it/en/relais-masseria-le-cesine-en/,Not Contacted,Restored 17th-century masseria resort near the Le Cesine nature reserve part of CDSHotels group; no verifiable direct email found
Masseria Uccio,Masseria Uccio,Luxury Hospitality,Tricase (LE),info@masseriauccio.com,https://www.masseriauccio.com/,Not Contacted,Boutique stone masseria inside the Otranto-Santa Maria di Leuca-Bosco di Tricase Natural Park; email verified on official site
Albergo Palazzo,Albergo Palazzo,Luxury Hospitality,Santa Cesarea Terme,info@albergopalazzo.it,https://albergopalazzo.it/,Not Contacted,Historic Belle Epoque thermal spa hotel the only hotel in Salento with on-site thermal baths; email verified on official site
Antonio Conte,Independent (football manager),Public Figure Patron,Lecce (born and raised),,Represented by agent Federico Pastorello (P&P Sport Management) - no public direct contact verified,Not Contacted,Born in Lecce 1969 began career at US Lecce; frequently speaks of deep ties to his hometown; no public direct contact verified
Alessandra Amoroso,Independent (recording artist; Sony Music Italy/Epic),Public Figure Patron,Galatina (born and raised),,https://www.alessandraamoroso.it ; fanclub contact form https://fanclub.alessandraamoroso.it/site/it/contattaci/,Not Contacted,Born 1986 in Galatina Lecce province; maintains strong public ties to Salento
Tiziano Ferro,Independent (recording artist; FG Management),Public Figure Patron,Matino (LE),,https://tizianoferro.com ; managed by Fabrizio Giannini/FG Management,Not Contacted,Purchased a historic palazzo in Piazza San Giorgio Matino in the Salento countryside as a recurring residence
Meryl Streep,Independent (actress),Public Figure Patron,Tricase (Mito area),,Agent Franklin Latt / Creative Artists Agency (info@caa.com),Not Contacted,Purchased a home in the Mito area of Tricase Porto within the Costa di Otranto-Santa Maria di Leuca natural park widely reported since 2016-17
Francis Ford Coppola,Independent (director/producer; American Zoetrope),Public Figure Patron,Ugento (LE),,https://www.zoetrope.com (no direct press email verified),Not Contacted,Purchased a masseria in Ugento after genealogical research traced his family's pre-1700s roots to Ugento and San Cesario di Lecce; a documented ancestral return not just a vacation-home purchase
Alberto Paglialunga,Deghi S.p.A.,Public Figure Patron,Novoli / San Cesario di Lecce (LE),info@deghishop.it,https://www.deghishop.it,Not Contacted,Founder and CEO of Deghi a major Salento-headquartered e-commerce company with 260+ employees and strong regional public profile
Mario Schirinzi,Azienda Olearia Schirinzi (Frantoio Schirinzi),Olive Oil Producer,Carmiano (LE),,https://www.schirinzi.it/contatti/,Not Contacted,Family-run mill since 1963 three generations around 40 hectares of groves near the Salento coast; email cited only by third-party directories not confirmed on official site so left blank
Giuseppe Agrosì,Azienda Agricola Agrosì,Olive Oil Producer,Supersano (LE),info@agrosi.it,https://olioagrosi.com/,Not Contacted,Organic ICEA-certified cold-extraction EVOO; family growing olives 200+ years; recently planted 5000 Xylella-tolerant Leccino trees over 20 hectares regeneration-relevant
Famiglia Congedi,Frantoio Congedi,Olive Oil Producer,Ugento (LE),info@frantoiocongedi.com,https://frantoiocongedi.com/it/contatti/,Not Contacted,Historic mill founded 1917 one of Salento's larger production facilities; email verified via official contact page
Donna Oleria,Donna Oleria,Olive Oil Producer,Monteroni di Lecce (LE),shop@donnaoleria.it,https://www.donnaoleria.it/,Not Contacted,Premium producer of DOP Terra d'Otranto EVOO; email verified on official site
Paolo Benegiamo,L'Astore Masseria,Olive Oil Producer,Cutrofiano (LE),info@lastoremasseria.it,https://www.lastoremasseria.it/,Not Contacted,Historic family estate since 1935 around 80 hectares of vineyards olive groves and arable land with an 18th-century underground mill; major independent landowner
Giovanni Melcarne,Melcarne Forestaforte,Olive Oil Producer,Gagliano del Capo (LE),info@forestaforte.it,https://forestaforte.com/olio-del-salento/,Not Contacted,Historic olive-growing family documented locally since the 1580s; family member created an award-winning spreadable EVOO product explicitly framed as reviving territory devastated by Xylella
Famiglia Marangelli,Menhir Marangelli (Cantine Menhir Salento),Wine Producer,Bagnolo del Salento (LE),commerciale@menhirsalento.com,https://www.menhirsalento.com/,Not Contacted,Family-founded 2000 by Gaetano and Vito Angelo Marangelli rebranded in 2025; email verified on official site
Famiglia Guagnano,Feudi di Guagnano,Wine Producer,Guagnano (LE),sales@feudiguagnano.it,https://www.feudiguagnano.it/en/our-company/,Not Contacted,Founded 2002 by three cousins reviving family and village Negroamaro vineyards; email verified on official site
Famiglia Zonin,Masseria Altemura (Gruppo Zonin1821),Wine Producer,Torre Santa Susanna / Oria (BR),info@masseriaaltemura.it,https://www.masseriaaltemura.it/en/,Not Contacted,Premium Primitivo di Manduria and Salento estate owned since 2000 by the Veneto-based Zonin wine dynasty not a native Salento family; email verified via multiple sources
Famiglia Leuci,Cantine Leuci (Leuci Lucio S.a.s.),Wine Producer,Salice Salentino (LE),amministrazione@vinileuci.it,https://www.salentowineshop.com/en/wineries/lucioleuci-en/,Not Contacted,Family winery since 1924 now run by grandson Francesco Leuci; email found via secondary listing not directly fetched from own domain medium-high confidence
Famiglia Serio,Cantine Serio (Azienda Vitivinicola Giuseppe Serio),Wine Producer,San Donaci (BR),info@cantineserio.com,https://cantineserio.com/,Not Contacted,Family winery since the 1930s four generations in the Salice Salentino DOC area; email verified on official site
Famiglia Fatano,Interfrutta / Fatano 1880 Group,Entrepreneurial Family,Lecce,,https://www.fatano.it/?p=contatti,Not Contacted,Historic family-owned agri-food distribution group over 90 years old; no official email published only phone fax and contact form; CEO Roberto Fatano died May 2026 leadership in transition
Dolcenera,K6DN Management (Apollo Records),Public Figure Patron,Galatina / Scorrano (LE),info@dolcenera.it,Booking: Baobab Music massimo.levantini@baobabmusic.it,Not Contacted,Born Galatina 1977 raised in Scorrano; widely called la leonessa del Salento; email verified on official site
Après La Classe,Molly Arts Live,Public Figure Patron,Aradeo (LE),info@mollyartslive.it,https://apreslaclasse.org,Not Contacted,Ska reggae patchanka band formed 1996 in Aradeo still active; booking contact confirmed via press coverage
Flavia Pennetta,Independent (former tennis player),Public Figure Patron,Brindisi (BR) - Salento area,,https://flaviapennetta.eu (contact form),Not Contacted,Born Brindisi 1982; married in Ostuni Cathedral donated tennis courts to Brindisi spends part of year in the region; no verified direct email found
Graziano Pellè,U.S. Lecce,Public Figure Patron,San Cesario di Lecce / Monteroni di Lecce (LE),stampa@uslecce.it,https://www.uslecce.it,Not Contacted,Born San Cesario di Lecce raised in Monteroni di Lecce came through Lecce's youth academy; currently works for U.S. Lecce per 2025 reporting; contacted via club press office
Paolo Leo,Cantine Paololeo Srl,Wine Producer,San Donaci (BR) - Salento wine district,info@paololeo.it,https://www.paololeo.it/contatti,Not Contacted,Founded 1989 family winery in the Parco del Negroamaro; San Donaci is in Brindisi province not Lecce though within the wider Salento wine district
Mocavero,Azienda Vinicola Mocavero,Wine Producer,Arnesano (LE),info@mocaverovini.it,https://www.mocaverovini.it/chi-siamo.html,Not Contacted,Family winery since 1950 third generation Primitivo and Negroamaro focus; confirmed genuine winery in Lecce province
Palazzo Sant'Anna Lecce,Palazzo Sant'Anna Lecce,Luxury Hospitality,Lecce (historic centre),info@palazzosantannalecce.com,https://www.psalecce.com/contatti/,Not Contacted,Historic Baroque-era residence and luxury suites in Lecce old town
Masseria Trapana,Masseria Trapana,Luxury Hospitality,Lecce (rural outskirts),info@trapana.com,https://www.trapana.com/en/,Not Contacted,16th-century restored masseria and olive estate near Lecce
Nohasi Palace Hotel & Spa,Nohasi Palace,Luxury Hospitality,Noha Galatina (LE),info@nohasipalace.com,https://www.nohasipalace.com/en/,Not Contacted,Historic noble residence and hotel with medieval tower
Palazzo Zimara Boutique Hotel,Palazzo Zimara Boutique Hotel - The D'Angelo Family Collection,Luxury Hospitality,Lecce (historic centre),info@palazzozimara.it,https://palazzozimara.it/contact/,Not Contacted,16th-century palazzo D'Angelo family-owned
Masseria Corsano,Masseria Corsano,Luxury Hospitality,Nardò (LE),info@masseriacorsano.com,https://www.masseriacorsano.com,Not Contacted,15-suite luxury boutique masseria
Tenuta Centoporte,Tenuta Centoporte,Luxury Hospitality,Giurdignano (LE),info@tenutacentoporte.it,https://tenutacentoporte.it/contatti/,Not Contacted,Resort near Otranto; also lists direzione@ and reservations@ addresses
Masseria Panareo,Masseria Panareo,Luxury Hospitality,Otranto,info@masseriapanareo.com,https://www.masseriapanareo.com/en/contact/,Not Contacted,Medieval-origin masseria near Porto Badisco; email confirmed via domain search not directly visible on fetched page medium-high confidence
Masseria Bandino & Spa,Masseria Bandino & Spa,Luxury Hospitality,Otranto,reception@masseriabandino.it,https://masseriabandino.it/en/,Not Contacted,Family-run masseria hotel restaurant and spa
Masseria dei Monaci,Masseria dei Monaci (BRRS Vacanze Srl),Luxury Hospitality,Otranto,info@masseriadeimonaci.com,https://masseriadeimonaci.com/en/,Not Contacted,Historic masseria linked to the Abbey of San Nicola di Casole
Palazzo Ducale Venturi,Palazzo Ducale Venturi,Luxury Hospitality,Minervino di Lecce (LE),info@palazzoducaleventuri.com,https://www.palazzoducaleventuri.com/en/index,Not Contacted,16th-century aristocratic palace turned 5-star hotel and spa part of Ermes Hotels Collection
